Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Europe & Central Asia,Haiti,2017,EXPIMP,Food Products,42396.55,2736.75,12.21,5.28,,,,2.8,0,173,0,98.84,0,1.16,96.13,0,0,0.15,2765.26,5.14,0.22,173,6.94,34.68,41.62,16.76,96.13,0,282.92,297.47,2467.94
Europe & Central Asia,Hungary,2017,EXPIMP,Food Products,2874027.81,3686313.13,3.4,4.07,,,,16.14,9.5,3948,31.43,38.63,4.56,25.38,3000,0,9301.01,271348.35,110327.01,23.72,14.87,3948,57.09,8.05,5.57,29.28,3000,0,10563.57,356137.85,25537.51
Europe & Central Asia,Indonesia,2017,EXPIMP,Food Products,363241.91,1104079.75,2.64,4.06,,,,11.66,7.71,9382,51.73,6.89,9.45,31.93,708.23,0,104474.18,786104.85,273659.02,20.83,12.19,9382,52.92,4.23,9.72,33.13,3000,0,104566.84,805004.94,254758.94
Europe & Central Asia,India,2017,EXPIMP,Food Products,471254.52,1433482.38,0.61,2.19,,,,12.47,10.94,18679,45,7.59,9.05,38.36,708.23,0,112717.18,1159741,281878.05,19.9,15.38,18679,45.96,5.34,9.29,39.41,3000,0,134655.19,1203593.14,238025.92
Europe & Central Asia,British Indian Ocean Ter.,2017,EXPIMP,Food Products,0,120.48,,14.28,,,,0,0,32,0,100,0,0,0,0,0,0,120.47,8.15,30.8,32,25,18.75,37.5,18.75,51.71,0,6.66,120.47,0
Europe & Central Asia,Ireland,2017,EXPIMP,Food Products,4716456,5260728.51,8.51,5.93,,,,25.34,5.28,2135,24.92,38.31,8.1,28.67,3000,0,54757.32,263809.87,46732.02,31.23,7.88,2135,42.81,15.36,8.67,33.16,3000,0,55082.11,283590.34,26951.55
"Europe & Central Asia,""Iran, Islamic Rep."",2017,EXPIMP,Food Products,580390.76,86937.05,3.02,0.43,,,,17.24,11.69,7199,52.41,4.79,9.47,33.32,708.23,0,8174.97,68329.6,1778.7,25.41,12.58,7199,52.47,3.69,9.47,34.37,3000,0,8174.97,68888.29,1220.01"
Europe & Central Asia,Iraq,2017,EXPIMP,Food Products,1669418.42,9781.42,10.16,0.06,,,,27.36,16.52,664,62.05,3.31,23.34,11.3,135.9,0,92.51,2300.46,46.19,69.02,17.07,664,62.05,3.01,23.34,11.6,3000,0,92.51,2300.89,45.76
Europe & Central Asia,Iceland,2017,EXPIMP,Food Products,329834.1,297997.36,6.56,7.52,,,,5.52,1.32,3778,25.41,36.66,15.25,22.68,263.99,0,3502.53,37015.15,246791.76,12.52,6.27,3778,41.77,12.26,17.2,28.77,264.59,0,3561.19,93074.92,190731.99
Europe & Central Asia,Israel,2017,EXPIMP,Food Products,1505013.24,309382.57,4.86,1.86,,,,9.19,4.86,16546,9.28,52.05,7.1,31.57,3000,0,112791.94,177220.93,129124.4,20.91,17.37,16546,36,4.53,12.64,46.83,3000,0,144095.65,304111.89,2233.44
Europe & Central Asia,Italy,2017,EXPIMP,Food Products,12392205.88,18491170.31,3.86,5.85,,,,14.63,16.65,8923,35.73,36.58,3.49,24.21,3000,0,100017.17,1936724.91,614112.09,20.4,21.06,8923,56.94,12.28,4.05,26.73,3000,0,107965.59,2329870.95,220966.05
Europe & Central Asia,Jamaica,2017,EXPIMP,Food Products,64405.07,91014.77,11.64,20.37,,,,1.2,0.01,2106,0.95,80.58,1.23,17.24,107.51,0,73.56,423.2,88215.66,9.44,12.92,2106,22.03,19.94,18.28,39.74,133.09,0,60409.4,83994.5,4644.36
Europe & Central Asia,Jordan,2017,EXPIMP,Food Products,426225.23,23074.18,7.04,3.96,,,,5.68,1.93,4822,2.14,85.69,1.45,10.72,387.26,0,1990.77,3412.26,20391.78,23,41.66,4822,41.64,2.14,12.46,43.76,387.26,0,4140.45,23638.71,165.34
Europe & Central Asia,Japan,2017,EXPIMP,Food Products,4197358.09,291771.65,4.78,0.25,,,,17.84,8.9,16212,40.5,8.84,10.73,39.93,3000,0,56403.14,199617.09,69190.57,18.16,9.22,16212,40.5,8.4,10.73,40.38,3000,0,56403.14,203682.36,65125.3
Europe & Central Asia,Kazakhstan,2017,EXPIMP,Food Products,1581310.03,291662.1,6.82,0.99,,,,2.68,0.91,2817,8.45,55.95,9.27,26.34,133.09,0,1323.79,10322.53,239946.92,10.31,6.76,2817,37.27,4.93,16.4,41.39,133.09,0,19969.31,238570.33,11699.11
Europe & Central Asia,Kenya,2017,EXPIMP,Food Products,161811.25,143667.38,5.92,7.67,,,,1.97,0.52,2515,4.06,87.59,0.72,7.63,109.16,0,23.21,7432.69,133321.08,15.85,18.95,2515,42.23,4.77,7.51,45.49,157.11,0,5134.52,135117.08,5636.69
Europe & Central Asia,Kyrgyz Republic,2017,EXPIMP,Food Products,342969.72,25522.81,10.38,1.97,,,,0.91,0.19,1186,4.72,84.74,6.58,3.96,31.79,0,80.36,1570.21,22608.88,31.26,9.43,1186,48.99,3.46,17.62,29.93,3000,0,595.84,24170.3,8.79
Europe & Central Asia,Cambodia,2017,EXPIMP,Food Products,62016.6,20808.79,6.27,0.28,,,,6.13,64.42,630,0.79,78.73,1.11,19.37,202.81,0,0.11,15499.77,5399.03,27.6,68.86,630,10.63,6.83,13.49,69.05,252.27,0,72.74,20788.28,110.52
Europe & Central Asia,Kiribati,2017,EXPIMP,Food Products,1333.17,158.63,55.61,24.1,,,,0,0,3,0,100,0,0,0,0,0,0,158.63,29.9,26,3,100,0,0,0,57.6,10,0,158.63,0
Europe & Central Asia,St. Kitts and Nevis,2017,EXPIMP,Food Products,2887.57,105.31,3.28,0.58,,,,0,0,38,0,100,0,0,0,0,0,0,105.31,11.56,20.14,38,26.32,23.68,10.53,39.47,55.83,0,0.75,73.89,31.42
"Europe & Central Asia,""Korea, Rep."",2017,EXPIMP,Food Products,1738107.67,414805.9,2.33,0.49,,,,7.32,3.9,11502,8.06,83.47,1.73,6.74,3000,0,13429.63,134220.17,184249.75,20.41,12.69,11502,49.23,6,11.63,33.14,3000,0,33022.26,315941.19,2528.72"
Europe & Central Asia,Kuwait,2017,EXPIMP,Food Products,569573.33,379.25,7.23,0.01,,,,9.13,5.16,408,35.29,3.92,37.75,23.04,58.5,0,32.92,126.72,171.58,10.42,16.3,408,35.29,2.94,37.75,24.02,58.5,0,32.92,296.74,1.55
Europe & Central Asia,Lao PDR,2017,EXPIMP,Food Products,5389.07,34188.11,2.11,11.39,,,,5.6,80.29,445,0.9,90.11,0,8.99,96.13,0,0,31586.92,2619.11,20.98,80.93,445,17.98,5.17,11.91,64.94,121.96,0,14.18,33989.52,216.51
Europe & Central Asia,Lebanon,2017,EXPIMP,Food Products,720006.66,78557.83,6.83,7.99,,,,10.06,2.5,11418,3.81,57.37,4.76,34.07,3000,0,9565.55,21000.2,60289.38,21.6,11.4,11418,33.6,4.1,10.45,51.85,3000,0,17463.26,78252.11,3037.48
Europe & Central Asia,Liberia,2017,EXPIMP,Food Products,25598,33338.76,2.74,4,,,,0,0,43,0,100,0,0,0,0,0,0,33359.2,18.54,0.03,43,13.95,20.93,11.63,53.49,128.85,0,1.51,46.38,33312.82
Europe & Central Asia,Libya,2017,EXPIMP,Food Products,464739.06,103.27,8.66,0,,,,13.27,32.86,177,3.95,0,10.17,85.88,57.6,3.46,2.04,93.82,0,13.27,32.86,177,3.95,0,10.17,85.88,57.6,3.46,2.04,93.82,0
Europe & Central Asia,St. Lucia,2017,EXPIMP,Food Products,9506.19,1620.14,9.47,11.78,,,,0.08,0.04,387,0,71.83,1.81,26.36,5.52,0,20.55,41.94,1577.99,7.99,3.98,387,14.21,9.3,27.39,49.1,76.78,0,712.03,1508.18,111.76
Europe & Central Asia,Sri Lanka,2017,EXPIMP,Food Products,148421.86,124392.08,6.37,2.92,,,,9.04,1.74,7965,5.79,52.15,9.65,32.4,708.23,0,57284.65,70153.73,45701.71,19.53,9.39,7965,49.52,3.59,10.27,36.62,708.23,0,57368.6,114753.44,1102.01
Europe & Central Asia,Lesotho,2017,EXPIMP,Food Products,229.99,5.64,1.95,0,,,,1.19,0.14,184,0,44.02,3.8,52.17,5.52,0,0.35,0.35,5.64,5.58,6.83,184,1.63,0,15.22,83.15,12.8,0.09,5.99,5.99,0
Europe & Central Asia,Lithuania,2017,EXPIMP,Food Products,1377593.05,1519501.34,5.61,7.86,,,,18.18,13.47,3359,39.18,23.55,6.19,31.08,3000,0,1566.73,157439.01,55455.01,22.27,14.43,3359,49.09,10.57,6.25,34.09,3000,0,1644.86,164104.66,48789.36
Europe & Central Asia,Luxembourg,2017,EXPIMP,Food Products,1278267.84,503088.72,6.52,3.52,,,,56.93,77.32,634,12.46,48.74,0,38.8,3000,0,0,10231.48,718.76,66.3,92.1,634,25.39,27.6,0.16,46.85,3000,0,24.98,10899.06,51.18
Europe & Central Asia,Latvia,2017,EXPIMP,Food Products,1602822.68,567896.52,8.44,5.78,,,,10.42,12.6,2473,34.05,27.78,4.65,33.52,386.01,0,2138.58,77464.71,20571.57,15.41,14.3,2473,47.96,11.85,4.69,35.5,386.01,0,2151.52,82014.77,16021.51
Europe & Central Asia,Macao,2017,EXPIMP,Food Products,70718.55,129.5,9.4,0.09,,,,14.07,12.67,447,4.7,6.71,14.77,73.83,133.09,0,15.15,38.94,0,14.86,15.01,447,4.7,6.71,14.77,73.83,133.09,0,15.15,38.94,0
Europe & Central Asia,Morocco,2017,EXPIMP,Food Products,668331,1243913.07,2.36,6.09,,,,2.77,1.37,7372,3.08,92.89,0.26,3.77,250.83,0,36.11,89545.47,709037.25,16.85,15.44,7372,47.22,3.65,8.61,40.52,252.27,0,18961.48,746710.35,51872.37
Europe & Central Asia,Moldova,2017,EXPIMP,Food Products,369315.98,302622.01,7.58,11.02,,,,1.62,1.26,10995,0.97,71.69,1.96,25.38,374.71,0,42934.44,58067.64,190851.25,20.44,21.68,10995,23.05,4.55,12.68,59.73,3000,0,63863.83,230908.71,18010.18
Europe & Central Asia,Madagascar,2017,EXPIMP,Food Products,54857.1,101217.89,7,7.17,,,,0.94,0,2358,1.02,84.1,1.1,13.78,67.68,0,6.44,12.74,96062,15.46,16.23,2358,38.25,3.48,14.5,43.77,252.27,0,1641.25,72706.85,23367.89
Europe & Central Asia,Maldives,2017,EXPIMP,Food Products,33558.55,23471.98,13.18,24.22,,,,22.56,20.44,242,93.39,2.89,0,3.72,74.9,0,0,19950.73,3502.73,22.77,20.64,242,93.39,2.07,0,4.55,74.9,0,0,23438.27,15.18
Europe & Central Asia,Mexico,2017,EXPIMP,Food Products,905177.16,860128.69,2,2.72,,,,11.81,5.12,14315,13.84,45.85,9.93,30.38,3000,0,135580.93,403281.86,418960.51,18.46,8.01,14315,36.4,8.75,11.28,43.58,3000,0,160163.18,540290.09,281952.28
Europe & Central Asia,Marshall Islands,2017,EXPIMP,Food Products,1567.27,2.55,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,North Macedonia,2017,EXPIMP,Food Products,380134.79,346449.18,5.6,5.72,,,,5.98,1.65,12626,1.58,56.85,4.44,37.13,3000,0,26151.8,61186.05,265269.87,21.03,14.42,12626,29,2.87,12.52,55.61,3000,0,77121.47,325568.3,887.61
Europe & Central Asia,Mali,2017,EXPIMP,Food Products,152886.68,5708.48,10.97,0.87,,,,0.69,0.02,1256,0.16,99.76,0,0.08,28.11,0,0,18.69,5690.24,17.79,21.72,1256,46.58,2.39,5.25,45.78,57.6,0,25.41,5614.86,94.07
Europe & Central Asia,Malta,2017,EXPIMP,Food Products,412211.87,30893.19,4.45,1.39,,,,7.26,16.01,103,8.74,34.95,0,56.31,103.94,0,0,365.13,63.21,15.2,33.1,103,12.62,4.85,0,82.52,103.94,0,0,425.23,3.12
Europe & Central Asia,Myanmar,2017,EXPIMP,Food Products,54092.03,2230.69,5.98,0.1,,,,0.43,0.05,454,2.86,73.35,1.54,22.25,12,0,0.01,46.38,2090.7,16.22,18.31,454,28.19,10.57,11.67,49.56,128.85,0,3.39,2128.33,8.75
Europe & Central Asia,Mongolia,2017,EXPIMP,Food Products,221164.83,1841.98,9.96,0.23,,,,5.82,11.26,132,17.42,28.79,21.97,31.82,15,0,4.53,1771.24,32.75,9.29,13.67,132,27.27,16.67,22.73,33.33,46.41,0,4.53,1789.79,14.2
Europe & Central Asia,Montenegro,2017,EXPIMP,Food Products,285699.15,22982.64,12.21,5.88,,,,19.22,0.59,3927,3.03,40.44,5.6,50.93,3000,0,732.23,1397.12,19711.19,36.06,26.79,3927,18.95,4.46,10.31,66.28,3000,0,1001.34,20711.8,396.5
Europe & Central Asia,Mozambique,2017,EXPIMP,Food Products,37725.86,241957.86,5.43,12.01,,,,13.94,12.53,834,3.24,69.9,1.68,25.18,96.13,0,104.65,92556.71,198332.77,23.4,17.77,834,13.91,1.08,3.84,81.18,96.13,0,104.65,290530.76,358.72
Europe & Central Asia,Mauritania,2017,EXPIMP,Food Products,150527.37,271476.73,15.66,26.61,,,,6.37,1.26,163,2.45,69.94,0,27.61,80.64,0,0,36057.59,22148,12.19,1.26,163,55.21,5.52,6.75,32.52,80.64,0,2.24,36079.57,22126.03
Europe & Central Asia,Montserrat,2017,EXPIMP,Food Products,612.37,0.12,20.26,0.01,,,,0,0,12,0,100,0,0,0,0,0,0,0.12,16.44,16.44,12,91.67,0,0,8.33,19.2,10.1,0,0.12,0
Europe & Central Asia,Mauritius,2017,EXPIMP,Food Products,130285.18,547538.24,9.19,45.26,,,,1.81,0.04,2532,3.32,86.14,0.87,9.68,102.91,0,354.43,3666.91,542847.38,24.49,45.17,2532,50.36,7.62,12.12,29.9,102.91,0,3775.01,541809.38,4704.91
Europe & Central Asia,Malawi,2017,EXPIMP,Food Products,5191.95,349307.87,2.55,87.67,,,,16.62,5.24,822,6.2,83.33,0,10.46,96.13,0,0,78349.44,439044.8,24.51,11.77,822,24.21,5.84,2.92,67.03,96.13,0,2.62,517198.28,195.95
Europe & Central Asia,Malaysia,2017,EXPIMP,Food Products,600720.29,427150.04,2.99,1.13,,,,14.43,6.56,6220,45.29,7.97,16.99,29.74,708.23,0,57786.04,244340.79,156685.88,20.7,7.53,6220,46.08,6.4,17.01,30.51,3000,0,57786.04,277422.37,123604.31
Europe & Central Asia,Namibia,2017,EXPIMP,Food Products,15838.8,5647.36,2.57,0.39,,,,1.09,0.04,1298,1.54,50.85,3.24,44.38,15,0,22.68,35.14,5505.86,11.47,19.99,1298,15.41,2.08,10.25,72.27,133.09,0,1292.9,5448.54,92.46
Europe & Central Asia,New Caledonia,2017,EXPIMP,Food Products,166086.1,571.92,15.08,0.43,,,,0.1,0.07,536,0,78.54,1.31,20.15,5.52,0,4.54,4.54,159.15,11.45,14.84,536,23.32,5.22,15.11,56.34,55.83,0,65.35,155.12,8.57
Europe & Central Asia,Niger,2017,EXPIMP,Food Products,71836.91,247.05,18.36,0.08,,,,0.11,0.01,357,0,71.15,1.96,26.89,5.52,0,0.51,0.51,241.08,14.77,4.37,357,26.61,2.24,21.29,49.86,74.9,0,18.99,59.77,181.82
Europe & Central Asia,Nigeria,2017,EXPIMP,Food Products,605096.81,615008.6,5.57,3.62,,,,11.44,0.51,2416,37.71,10.6,17.38,34.31,386.01,0,251.48,70982.6,578828.86,14.32,0.89,2416,37.29,9.06,18.25,35.39,386.01,0,261.54,79296.4,570515.07
Europe & Central Asia,Nicaragua,2017,EXPIMP,Food Products,12319.4,51673.64,3.76,9.21,,,,6.55,1.33,601,4.16,71.71,7.15,16.97,284.83,0,5556.11,8238.67,43201.75,44.94,31.5,601,34.28,13.31,15.97,36.44,3000,0,5579.62,48090.97,3349.46
Europe & Central Asia,Niue,2017,EXPIMP,Food Products,0,0.47,,0.1,,,,0,0,1,0,100,0,0,0,0,0,0,0.47,0,0,1,0,100,0,0,0,0,0,0,0.47
Europe & Central Asia,Netherlands,2017,EXPIMP,Food Products,16190040.86,25893916.97,5.09,7.12,,,,18.2,14.5,5908,27.93,37.49,6.47,28.11,3000,0,158455.23,831668.95,614606.13,23.86,21.62,5908,46.61,14.64,7.3,31.45,3000,0,160731.55,1288948.02,157327.06
Europe & Central Asia,Norway,2017,EXPIMP,Food Products,3393827.99,620178.39,5.81,0.76,,,,10.44,9.7,11814,22.3,22.5,12.09,43.12,386.01,0,130621.2,379019.67,220141.69,15.31,12.7,11814,32.55,8.99,13.04,45.42,386.01,0,161017.83,430359.51,168801.84
Europe & Central Asia,Nepal,2017,EXPIMP,Food Products,16730.19,1008.76,3.34,0.56,,,,0.2,0.01,595,1.34,97.98,0,0.67,12,0,0,1.17,1003.76,14.09,9.84,595,30.92,9.24,24.37,35.46,630.3,0,629.3,913.14,91.8
Europe & Central Asia,Nauru,2017,EXPIMP,Food Products,0,0.31,,0.01,,,,6.26,6.26,20,20,0,55,25,12.1,0.09,0.31,0.31,0,6.99,6.99,20,15,0,60,25,12.8,0.09,0.31,0.31,0
Europe & Central Asia,New Zealand,2017,EXPIMP,Food Products,365679.69,581654.7,5.79,12.49,,,,15.59,7.97,10666,19.82,4.46,12.62,63.1,386.01,0,476597.75,521858.73,21760.96,15.59,7.97,10666,19.82,4.46,12.62,63.1,386.01,0,476597.75,521858.73,21760.96
"Europe & Central Asia,""Other Asia, nes"",2017,EXPIMP,Food Products,1108277.84,110973.22,3.81,0.27,,,,17.83,13.06,9258,47.72,8.34,10.65,33.29,397.16,0,23424.38,69294.04,11572.3,17.83,13.06,9258,47.72,8.34,10.65,33.29,397.16,0,23424.38,69294.04,11572.3"
Europe & Central Asia,Oman,2017,EXPIMP,Food Products,245370.46,1242.85,3.4,0.23,,,,10.97,11.83,420,17.62,9.05,30.24,43.1,263.99,0,433.5,889.65,15.22,12.55,12.85,420,17.62,6.9,30.24,45.24,264.59,0,433.5,902.82,2.04
Europe & Central Asia,Pakistan,2017,EXPIMP,Food Products,230438.62,158063.4,2.88,1.63,,,,10.56,4.6,5544,3.48,50.56,9.7,36.26,214.42,0,7835.93,59551.36,80235.75,21.82,19.28,5544,47.71,2.69,10.1,39.5,252.27,0,8932.98,139740.07,47.03
Europe & Central Asia,Panama,2017,EXPIMP,Food Products,249696.33,22229.89,8.46,2.47,,,,4.15,0.73,1030,0.68,61.65,8.35,29.32,284.83,0,10136.65,11843.73,10524.05,9.99,1.8,1030,21.94,22.72,19.81,35.53,284.83,0,10218.77,13860.83,8506.94
Europe & Central Asia,Pitcairn,2017,EXPIMP,Food Products,92.07,213.4,4.03,23.51,,,,0,0,5,0,100,0,0,0,0,0,0,213.4,1.92,1.57,5,40,60,0,0,7.7,0,0,86.76,126.65
Europe & Central Asia,Peru,2017,EXPIMP,Food Products,201746.7,628346.91,3.98,6.39,,,,3.43,0.43,9127,4.4,69.61,3.33,22.66,386.01,0,4086.91,86718,492934.76,18.47,13.85,9127,43.46,6.72,10.28,39.54,3000,0,11951.49,408573.45,171079.32
Europe & Central Asia,Philippines,2017,EXPIMP,Food Products,665484.22,497606.68,8.22,4.36,,,,7.29,1.81,11745,5.46,61.87,8.05,24.62,708.23,0,34682.8,196956.34,292174.96,19.04,20.91,11745,58.09,3.7,8.3,29.9,708.23,0,34688.35,485995.69,3135.61
Europe & Central Asia,Papua New Guinea,2017,EXPIMP,Food Products,12687.37,195841.84,6.72,19.65,,,,3.82,0,750,1.6,98.13,0,0.27,284.83,0,0,56.41,197067.27,19.47,22.43,750,92.4,1.6,1.6,4.4,284.83,0,0.31,185633.5,11490.18
Europe & Central Asia,Poland,2017,EXPIMP,Food Products,7187666.62,13473785.58,3.69,7.14,,,,15.92,38.58,6616,34.07,33.84,5.62,26.47,3000,0,121615.24,846037,346773.75,21.68,43.25,6616,53.36,11.06,6.09,29.49,3000,0,134471.66,1027181.79,165628.96
"Europe & Central Asia,""Korea, Dem. Rep."",2017,EXPIMP,Food Products,5056.68,154.89,5.33,0.79,,,,14.95,14.6,350,65.43,1.71,11.14,21.71,57.72,0,37.05,112.05,0,14.95,14.6,350,65.43,1.71,11.14,21.71,57.72,0,37.05,112.05,0"
Europe & Central Asia,Portugal,2017,EXPIMP,Food Products,3174466.66,2592350.92,5.32,6,,,,26,14.74,2169,27.66,29.37,3.69,39.28,3000,0,579.39,85846.55,52274.96,31.3,19.28,2169,35.32,16.55,3.73,44.4,3000,0,684.54,123163.91,14957.6
Europe & Central Asia,Paraguay,2017,EXPIMP,Food Products,80760.38,387358.59,9.63,18.35,,,,5.59,0.29,2110,1.09,38.15,12.75,48.01,284.83,0,1618.88,11721.91,376058.7,24.83,6.57,2110,24.79,2.84,13.13,59.24,284.83,0,1868.83,42681.84,345098.78
Europe & Central Asia,Occ.Pal.Terr,2017,EXPIMP,Food Products,112285.57,714.44,25.46,2.61,,,,2.04,0.09,290,2.41,87.24,0,10.34,17.89,0,0,4.67,718.86,14.75,19.61,290,61.03,4.48,8.97,25.52,51.67,0,82.41,711.2,12.33
Europe & Central Asia,French Polynesia,2017,EXPIMP,Food Products,97099.38,1445.26,12.46,4.01,,,,3.62,30.24,630,0,80.16,2.22,17.62,76.78,0,42.69,607.83,835.8,15.94,40.74,630,42.22,4.29,11.27,42.22,76.78,0,130.69,1440.73,2.89
Europe & Central Asia,Qatar,2017,EXPIMP,Food Products,397264.41,77.52,3.09,0,,,,18.7,13.32,147,18.37,5.44,44.22,31.97,145.15,0,4.24,57.99,1.92,21.95,13.35,147,18.37,4.08,44.22,33.33,145.15,0,4.24,58.02,1.89
Europe & Central Asia,Romania,2017,EXPIMP,Food Products,2956753.32,1627024.67,4.12,2.75,,,,20.87,107.7,1602,28.96,42.63,1.62,26.78,3000,0,1949.54,33072.67,30091.44,29.4,118.64,1602,55.43,9.43,1.75,33.4,3000,0,2086.21,60437.36,2726.76
Europe & Central Asia,Russian Federation,2017,EXPIMP,Food Products,6395496.94,3757954.65,5.06,1.71,,,,8.7,3.18,16690,21.36,38.14,10.25,30.26,3000,0,84828.87,699661.36,2491519.51,13.66,7.58,16690,40.95,7.17,13.27,38.6,3000,0,162216.24,2717593.23,473587.64
Europe & Central Asia,Rwanda,2017,EXPIMP,Food Products,14122,35.07,5.12,0.06,,,,0.14,0,251,1.59,96.02,0.4,1.99,11,0,7.28,7.42,31.09,9.16,8.54,251,49.4,12.75,8.76,29.08,133.09,0,19.33,32.71,5.81
Europe & Central Asia,Saudi Arabia,2017,EXPIMP,Food Products,2570010.61,12115.29,6.13,0.05,,,,29.55,11.46,3874,32.58,1.83,16.96,48.63,3000,0,3933.21,10778.01,52.09,30.8,11.54,3874,32.63,1.39,16.96,49.02,3000,0,3933.21,10785.2,44.9
Europe & Central Asia,Senegal,2017,EXPIMP,Food Products,361582.97,52329.9,9.92,6.13,,,,1.13,0.03,2102,0.9,93.72,0.43,4.95,76.78,0,0.31,76.16,10194.01,38.81,14.47,2102,45.91,2.66,10.18,41.25,3000,0,149.77,7011.5,3258.67
"Europe & Central Asia,""Serbia, FR(Serbia/Montenegro)"",2017,EXPIMP,Food Products,978496.64,1183344.67,5.1,7.34,,,,19.47,22.31,18799,39.57,5.39,10.09,44.95,3000,0,104066.77,918222.39,89564.92,19.47,22.31,18799,39.57,5.39,10.09,44.95,3000,0,104066.77,918222.39,89564.92"
Europe & Central Asia,Singapore,2017,EXPIMP,Food Products,2033697.51,298969.89,4.02,1.03,,,,13.45,12.22,5713,27.88,9.22,16.61,46.28,397.16,0,219830.78,263958.29,28946.02,15.26,12.46,5713,28.39,7.93,16.61,47.07,397.16,0,219830.78,264754.52,28149.79
Europe & Central Asia,Saint Helena,2017,EXPIMP,Food Products,2825.87,49.91,11.95,1.07,,,,0,0,14,0,100,0,0,0,0,0,0,49.91,27.84,29.83,14,7.14,14.29,0,78.57,55.83,0,0,49.91,0
Europe & Central Asia,Solomon Islands,2017,EXPIMP,Food Products,194.59,44392.27,2.76,46.03,,,,0,0,50,0,100,0,0,0,0,0,0,44150.23,9.35,24.04,50,86,14,0,0,25,0,0,44133.42,16.8
Europe & Central Asia,Sierra Leone,2017,EXPIMP,Food Products,39188.16,73517.4,12.91,20.37,,,,0.56,0,715,4.62,66.43,1.96,26.99,15,0,0.69,201.59,75201.38,11.88,0.88,715,29.65,3.5,12.03,54.83,139.77,0,472.25,3138.51,72264.45
Europe & Central Asia,El Salvador,2017,EXPIMP,Food Products,30895.35,97660.7,5.2,33.61,,,,3.63,0.59,1031,0.87,62.17,7.08,29.87,133.09,0,394.3,2008.48,95857.75,17.59,31.2,1031,45.88,3.3,14.35,36.47,133.09,0,394.3,97777.95,88.28
Europe & Central Asia,San Marino,2017,EXPIMP,Food Products,7851.8,5526.36,2.78,5.36,,,,3.06,3.7,1492,5.36,90.08,0.47,4.09,103.94,0,95.18,1368.27,2834.96,12.93,10.5,1492,9.72,3.49,18.1,68.7,133.09,0,2487.74,4201.02,2.21
Europe & Central Asia,Somalia,2017,EXPIMP,Food Products,127094.82,0.3,36.6,0,,,,0,0,24,0,100,0,0,0,0,0,0,0.3,5.79,6.56,24,12.5,0,50,37.5,12.8,0.09,0.24,0.3,0
Europe & Central Asia,Special Categories,2017,EXPIMP,Food Products,173024.29,46942.29,0.62,0.12,,,,12.13,20.21,29,34.48,17.24,17.24,31.03,55.83,0,0.21,46923.17,18.22,12.13,20.21,29,34.48,17.24,17.24,31.03,55.83,0,0.21,46923.17,18.22
Europe & Central Asia,Saint Pierre and Miquelon,2017,EXPIMP,Food Products,7366.12,129.25,20.1,5.76,,,,0,0,26,0,100,0,0,0,0,0,0,61.6,14.22,26.55,26,3.85,19.23,34.62,42.31,55.83,0,6.13,61.01,0.59
Europe & Central Asia,Sao Tome and Principe,2017,EXPIMP,Food Products,14647.49,8467.23,18.46,82.39,,,,0,0,61,0,100,0,0,0,0,0,0,8807.65,2.22,0.01,61,4.92,16.39,78.69,0,9.6,0,98.47,104.87,8702.78
Europe & Central Asia,Sudan,2017,EXPIMP,Food Products,158607.92,40250.08,7.35,13.06,,,,26.12,49.53,350,44.86,1.14,16.86,37.14,133.09,0,304.62,40287.69,0.68,26.12,49.53,350,44.86,1.14,16.86,37.14,133.09,0,304.62,40287.69,0.68
Europe & Central Asia,Suriname,2017,EXPIMP,Food Products,62525.83,2643.29,19.14,0.2,,,,0.15,0.02,885,0.23,98.19,0,1.58,10,0,0,49.87,2332.11,14.79,7.6,885,52.09,5.65,11.98,30.28,133.09,0,236.93,1651.41,730.57
Europe & Central Asia,Slovak Republic,2017,EXPIMP,Food Products,2397574.84,1237048.93,3.83,1.79,,,,24.01,8.41,1353,22.1,43.61,0.81,33.48,3000,0,2518.93,33686.14,12440.05,30.87,13.59,1353,47.67,11.38,0.96,39.99,3000,0,4442.42,40126.76,5999.44
Europe & Central Asia,Slovenia,2017,EXPIMP,Food Products,1098711.79,722134.47,4,2.57,,,,18.34,8.81,2953,26.11,44.56,3.08,26.24,3000,0,2817.17,75037.8,47514.31,28.68,18.25,2953,57.16,5.79,5.52,31.53,3000,0,7596.3,116207.66,6344.45
